127.0.0.1 - - [22/Jan/2021:15:07:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:07:45 +0900] "GET /html5/img.html HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:07:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:08:29 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:08:30 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:08:31 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:08:31 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:08:31 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:08:35 +0900] "GET /html5/img.html HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:21:28 +0900] "GET /html5/img.html HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:21:28 +0900] "GET /html5/img/accept.png HTTP/1.1" 200 108582
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:21:37 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:21:53 +0900] "GET /html5/img.html HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:21:53 +0900] "GET /html5/img/accept.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:21:53 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:22:00 +0900] "GET /html5/img.html HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:22:04 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:22:07 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:22:08 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:22:08 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:22:08 +0900] "GET /html5/img/accept.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:22:09 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:22:09 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:22:11 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:22:11 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:22:12 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:22:15 +0900] "GET /html5/img.html HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:22:15 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:22:19 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:22:20 +0900] "GET /html5/img.html HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:22:25 +0900] "GET /html5/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:22:25 +0900] "GET /html5/img/accept.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:22:26 +0900] "GET /html5/img.html HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:26:12 +0900] "GET /html5/img.html HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:26:12 +0900] "GET /html5/img/accept.png HTTP/1.1" 304 -
